0:	206400787
1:	242224413
2:	2064005
3:	300613323
4:	231749176
5:	216104139
6:	206400347
7:	206400874
8:	230307247
9:	23030775
10:	20867051
11:	206400826
12:	2062131361
13:	20463720
14:	2249281807
15:	208670459
16:	231749129
17:	206400795
18:	2628059
19:	28424380
20:	20867042
21:	2249281615
22:	204637381
23:	28424329
24:	216104136
25:	230307130
26:	2842437
27:	204637304
28:	2062131333
29:	20867055
30:	2161045
31:	206400882
32:	26280591
33:	2062131355
34:	204637249
35:	2062131348
36:	20867026
37:	28424311
38:	300613524
39:	204637291
40:	206213992
41:	2062131332
42:	204637386
43:	2062131011
44:	2046376
45:	28424314
46:	300613275
47:	206400788
48:	24222431
49:	26280577
50:	2062131314
51:	231749308
52:	2628056
53:	300613120
54:	2062131221
55:	206400612
56:	230307236
57:	242224410
58:	207948316
59:	20867073
60:	206400252
61:	2062131216
62:	204637371
63:	26280531
64:	204637321
65:	206400841
66:	242224701
67:	231749477
68:	204637120
69:	204637126
70:	21610436
71:	20463737
72:	216104134
73:	230307216
74:	28424324
75:	204637284
76:	20463715
77:	204637305
78:	300613363
79:	204637337
80:	206400798
81:	231749276
82:	204637335
83:	20794832
84:	2249281805
85:	26280512
86:	216104118
87:	231749312
88:	204637319
89:	204637185
90:	231749124
91:	26280517
92:	300613230
93:	26280735
94:	300613307
95:	300613369
96:	300613314
97:	2161049
98:	300613303
99:	300613118
100:	204637376
101:	206400811
102:	204637155
103:	204637392
104:	2249281619
105:	21610457
106:	2249281878
107:	2628053
108:	300613326
109:	2842435
110:	2628058
111:	2249281621
112:	208670458
113:	23174992
114:	231749246
115:	28424319
116:	204637378
117:	300613344
118:	300613292
119:	206400608
120:	242224708
121:	204637333
122:	26280555
123:	204637150
124:	204637269
125:	206400807
126:	216104142
127:	26280513
128:	206213999
129:	2842439
130:	230307263
131:	242224727
132:	204637211
133:	231749301
134:	2317498
135:	262807113
136:	300613333
137:	216104140
138:	26280516
139:	206400567
140:	28424331
141:	208670419
142:	204637382
143:	204637164
144:	206400805
145:	231749479
146:	2628055
147:	204637149
148:	300613368
149:	242224387
150:	206400356
151:	204637132
152:	2086708
153:	230307168
154:	206400249
155:	204637315
156:	231749315
157:	26280547
158:	2086707
159:	216104101
160:	20463746
161:	204637292
162:	21610439
163:	300613367
164:	300613320
165:	20463755
166:	300613298
167:	204637101
168:	20463781
169:	204637372
170:	2062131062
171:	28424318
172:	300613142
173:	300613208
174:	20867083
175:	30061313
176:	204637366
177:	2062131354
178:	20867010
179:	2062131149
180:	23174914
181:	204637373
182:	204637387
183:	204637220
184:	2062131190
185:	204637314
186:	20867039
187:	20867072
188:	28424345
189:	28424310
190:	204637139
191:	21610415
192:	28424337
193:	2249281540
194:	20867061
195:	231749326
196:	2249281810
197:	28424336
198:	300613319
199:	208670430
200:	2086709
201:	26280521
202:	300613121
203:	206400810
204:	206400838
205:	231749450
206:	204637320
207:	2062131185
208:	231749473
209:	2086705
210:	300613444
211:	20867056
212:	20794813
213:	300613338
214:	2842433
215:	2249281618
216:	207948508
217:	30061380
218:	28424315
219:	207948397
220:	206400775
221:	206400873
222:	2062131033
223:	20463733
224:	231749305
225:	206400720
226:	21610416
227:	230307151
228:	2628054
229:	28424328
230:	300613216
231:	231749474
232:	204637106
233:	26280572
234:	20463724
235:	23174972
236:	206400780
237:	2062131189
238:	26280588
239:	26280520
240:	204637370
241:	204637377
242:	23030748
243:	204637313
244:	242224703
245:	21610413
246:	20867020
247:	230307198
248:	2249281525
249:	230307191
250:	206400373
251:	20463718
252:	28424327
253:	2842434
254:	28424312
255:	230307122
256:	242224749
257:	204637183
258:	2062131375
259:	2249281616
260:	2062131217
261:	204637215
262:	20867034
263:	216104119
264:	262807121
265:	23030767
266:	300613419
267:	2046379
268:	2628051
269:	2062131064
270:	206400821
271:	216104143
272:	230307214
273:	26280580
274:	206400230
275:	20867066
